"sampleSize" "method" "rep" "id" "estTrue" "lo95True" "hi95True" "estImp" "lo95Imp" "hi95Imp" "error" "errorMessage"
100 "naive" 27 133 -0.796201106485157 -1.26143595052347 -0.330966262446842 -0.690191496194091 -1.18032588651955 -0.200057105868637 FALSE ""
100 "naive" 27 133 -0.584717516366937 -0.994282327257129 -0.175152705476744 -0.398111849619523 -0.759857218369328 -0.0363664808697179 FALSE ""
100 "naive" 27 133 -0.763713920892382 -1.44507073622294 -0.0823571055618222 -0.515005052084274 -1.36534010401701 0.33532999984846 FALSE ""
100 "naive" 27 133 -0.563675803858772 -1.50306688737894 0.375715279661395 -0.504412886153077 -1.66056590387414 0.651740131567985 FALSE ""
100 "naive" 27 133 -0.780418528561482 -1.68784298638225 0.12700592925928 -0.422898800110386 -1.50339054763812 0.657592947417345 FALSE ""
50 "naive" 46 134 -0.832445288535165 -1.46880135347554 -0.196089223594787 -0.507630909522522 -1.31619033170376 0.300928512658719 FALSE ""
50 "naive" 46 134 -0.786915827102962 -1.4599227629199 -0.113908891286024 0.0549551872255093 -0.692032245586745 0.801942620037764 FALSE ""
50 "naive" 46 134 -0.574369795946433 -0.986174210103847 -0.162565381789018 -0.374814640520171 -0.76250175970407 0.0128724786637273 FALSE ""
50 "naive" 46 134 -1.31426689420111 -2.37303058778071 -0.255503200621499 -1.38651015662796 -2.66925082325869 -0.103769489997225 FALSE ""
50 "naive" 46 134 -1.35635949750777 -2.54303619901211 -0.169682796003426 0.272874632079526 -0.809949964480941 1.35569922863999 FALSE ""
50 "naive" 46 134 -2.41489079183095 -4.22235355277865 -0.607428030883254 -1.16848343234964 -3.33697303028695 1.00000616558767 FALSE ""
50 "naive" 4 135 -1.17889258893017 -2.05346875126599 -0.304316426594356 -0.790782704395161 -1.59281222102937 0.0112468122390441 FALSE ""
50 "naive" 4 135 -1.10374037336338 -1.88900620570456 -0.318474541022191 -0.945909477025339 -1.71270781973037 -0.179111134320306 FALSE ""
50 "naive" 4 135 -0.0931870140869934 -0.564745469391966 0.378371441217979 -0.182532262375715 -0.741974313845426 0.376909789093996 FALSE ""
50 "naive" 4 135 -0.386340653172301 -1.45887553053473 0.686194224190126 -0.337993515354102 -1.70327027920601 1.0272832484978 FALSE ""
50 "naive" 4 135 0.163052954665782 -0.980546041984277 1.30665195131584 0.710592230024192 -0.4498108706974 1.87099533074578 FALSE ""
50 "naive" 4 135 -1.83313083198736 -3.92693413117741 0.260672467202695 -19.0517268857381 -16844.8931004401 16806.7896466686 FALSE ""
10 "naive" 33 136 -43.5515518490744 -3911.31800958687 3824.21490588872 183.717246431789 -31592.1752340432 31959.6097269068 FALSE ""
10 "naive" 33 136 -161.822685538408 -2158.4555645148 1834.81019343798 -122.006056092222 -19024.6394207136 18780.6273085292 FALSE ""
10 "naive" 33 136 -210.033079156333 -2024.26137577031 1604.19521745765 -46.7659201230146 -10515.174013427 10421.642173181 FALSE ""
10 "naive" 33 136 -512.728414266498 -4499.45279236498 3473.99596383198 -134.858791923261 -14814.5078221725 14544.790238326 FALSE ""
10 "naive" 33 136 -56.9860618516457 -3926.03512485094 3812.06300114764 -294.943595036698 -290418.496083294 289828.60889322 FALSE ""
10 "naive" 33 136 -361.021658096072 -4196.03179418883 3473.98847799669 10.868865434687 -13345.7771887093 13367.5149195787 FALSE ""
10 "naive" 36 137 22.9683635781294 -6529.03148517527 6574.96821233153 87.3804109771328 -56147.0164879559 56321.7773099102 FALSE ""
10 "naive" 36 137 1.4283148625245 -20864.6049173258 20867.4615470508 -54.5083194995131 -48775.867671878 48666.851032879 FALSE ""
10 "naive" 36 137 -33.8833332763274 -10057.7438656264 9989.97719907374 11.5550882760089 -20490.2881361699 20513.3983127219 FALSE ""
10 "naive" 36 137 19.9486722370403 -11024.1877353507 11064.0850798248 -68.1140699421991 -27899.702622463 27763.4744825786 FALSE ""
10 "naive" 36 137 -121.373013654471 -46118.2778954673 45875.5318681584 -141.414597749445 -28672.1208561187 28389.2916606198 FALSE ""
10 "naive" 36 137 -54.1946940658593 -11182.633105964 11074.2437178323 -218.834071533081 -28593.4038466519 28155.7357035857 FALSE ""
100 "naive" 10 138 -0.0232046641817056 -0.511126903927501 0.464717575564089 -0.566092481978052 -1.13578287954686 0.00359791559075828 FALSE ""
100 "naive" 10 138 -0.482716858039129 -0.795219098985112 -0.170214617093147 -0.666204150657915 -1.10699856792877 -0.225409733387058 FALSE ""
100 "naive" 10 138 -0.961251039984544 -1.30388649952327 -0.618615580445815 -0.448848742932949 -0.705238906030412 -0.192458579835486 FALSE ""
100 "naive" 10 138 0.229066482089289 -0.434343054034411 0.892476018212988 0.140671906690332 -0.60214445805969 0.883488271440353 FALSE ""
100 "naive" 10 138 -0.0670331478598202 -0.77581389664029 0.641747600920649 0.254863060716834 -0.545201157454598 1.05492727888827 FALSE ""
100 "naive" 10 138 -0.708423211170478 -1.50352454885809 0.0866781265171336 -1.36658496137159 -2.5169008589223 -0.216269063820883 FALSE ""
10 "naive" 15 139 3.25289378800438 -50767.7567730927 50774.2625606687 4.63716315020284 -177076.210549473 177085.484875773 FALSE ""
10 "naive" 15 139 -0.00711505236235085 -78424.7071935802 78424.6929634754 -10.5740300586521 -81341.46714973 81320.3190896127 FALSE ""
10 "naive" 15 139 -10.3599128323305 -108959.187210266 108938.467384602 13.1936588703194 -355817.380619681 355843.767937422 FALSE ""
10 "naive" 15 139 6.25736187302384 -56827.6296526552 56840.1443764013 6.27498552725556 -547052.682171667 547065.232142722 FALSE ""
10 "naive" 15 139 -23.5294385933518 -56512.6022661344 56465.5433889476 8.67916523188371 -923324.993339547 923342.351670011 FALSE ""
10 "naive" 15 139 -5.89630257213362 -56522.7986639848 56511.0060588406 9.01208394318116 -652888.610522335 652906.634690221 FALSE ""
10 "naive" 19 140 22.9683635781294 -6529.03148517527 6574.96821233153 87.3804109771328 -56147.0164879559 56321.7773099102 FALSE ""
10 "naive" 19 140 1.4283148625245 -20864.6049173258 20867.4615470508 -54.5083194995131 -48775.867671878 48666.851032879 FALSE ""
10 "naive" 19 140 -33.8833332763274 -10057.7438656264 9989.97719907374 11.5550882760089 -20490.2881361699 20513.3983127219 FALSE ""
10 "naive" 19 140 19.9486722370403 -11024.1877353507 11064.0850798248 -68.1140699421991 -27899.702622463 27763.4744825786 FALSE ""
10 "naive" 19 140 -121.373013654471 -46118.2778954673 45875.5318681584 -141.414597749445 -28672.1208561187 28389.2916606198 FALSE ""
10 "naive" 19 140 -54.1946940658593 -11182.633105964 11074.2437178323 -218.834071533081 -28593.4038466519 28155.7357035857 FALSE ""
10 "naive" 21 141 22.9683635781294 -6529.03148517527 6574.96821233153 87.3804109771328 -56147.0164879559 56321.7773099102 FALSE ""
10 "naive" 21 141 1.4283148625245 -20864.6049173258 20867.4615470508 -54.5083194995131 -48775.867671878 48666.851032879 FALSE ""
10 "naive" 21 141 -33.8833332763274 -10057.7438656264 9989.97719907374 11.5550882760089 -20490.2881361699 20513.3983127219 FALSE ""
10 "naive" 21 141 19.9486722370403 -11024.1877353507 11064.0850798248 -68.1140699421991 -27899.702622463 27763.4744825786 FALSE ""
10 "naive" 21 141 -121.373013654471 -46118.2778954673 45875.5318681584 -141.414597749445 -28672.1208561187 28389.2916606198 FALSE ""
10 "naive" 21 141 -54.1946940658593 -11182.633105964 11074.2437178323 -218.834071533081 -28593.4038466519 28155.7357035857 FALSE ""
50 "naive" 24 142 -0.462819668887462 -1.00753164147928 0.0818923037043521 -0.410428027775795 -1.07895324419248 0.25809718864089 FALSE ""
50 "naive" 24 142 -0.403626614146347 -1.15289607855023 0.345642850257535 -0.0835148550374118 -1.12674365587134 0.959713945796513 FALSE ""
50 "naive" 24 142 -0.49789191091818 -1.03095233270313 0.0351685108667726 -0.982330301860536 -1.53746385356401 -0.427196750157065 FALSE ""
50 "naive" 24 142 -0.467495781016589 -1.44712526520792 0.512133703174737 -0.354373741558545 -1.57519543473996 0.86644795162287 FALSE ""
50 "naive" 24 142 -0.554900651801077 -1.60918894477803 0.499387641175875 1.66297408034414 -0.120466085086852 3.44641424577513 FALSE ""
50 "naive" 24 142 -1.03553279539689 -2.32435820847354 0.253292617679764 0.289872157949469 -1.86693127952817 2.44667559542711 FALSE ""
10 "naive" 7 143 -43.5515518490744 -3911.31800958687 3824.21490588872 183.717246431789 -31592.1752340432 31959.6097269068 FALSE ""
10 "naive" 7 143 -161.822685538408 -2158.4555645148 1834.81019343798 -122.006056092222 -19024.6394207136 18780.6273085292 FALSE ""
10 "naive" 7 143 -210.033079156333 -2024.26137577031 1604.19521745765 -46.7659201230146 -10515.174013427 10421.642173181 FALSE ""
10 "naive" 7 143 -512.728414266498 -4499.45279236498 3473.99596383198 -134.858791923261 -14814.5078221725 14544.790238326 FALSE ""
10 "naive" 7 143 -56.9860618516457 -3926.03512485094 3812.06300114764 -294.943595036698 -290418.496083294 289828.60889322 FALSE ""
10 "naive" 7 143 -361.021658096072 -4196.03179418883 3473.98847799669 10.868865434687 -13345.7771887093 13367.5149195787 FALSE ""
50 "naive" 38 144 -0.462819668887462 -1.00753164147928 0.0818923037043521 -0.410428027775795 -1.07895324419248 0.25809718864089 FALSE ""
50 "naive" 38 144 -0.403626614146347 -1.15289607855023 0.345642850257535 -0.0835148550374118 -1.12674365587134 0.959713945796513 FALSE ""
50 "naive" 38 144 -0.49789191091818 -1.03095233270313 0.0351685108667726 -0.982330301860536 -1.53746385356401 -0.427196750157065 FALSE ""
50 "naive" 38 144 -0.467495781016589 -1.44712526520792 0.512133703174737 -0.354373741558545 -1.57519543473996 0.86644795162287 FALSE ""
50 "naive" 38 144 -0.554900651801077 -1.60918894477803 0.499387641175875 1.66297408034414 -0.120466085086852 3.44641424577513 FALSE ""
50 "naive" 38 144 -1.03553279539689 -2.32435820847354 0.253292617679764 0.289872157949469 -1.86693127952817 2.44667559542711 FALSE ""
100 "naive" 31 145 -0.700082726967422 -1.20541686587717 -0.194748588057677 -0.593745711607411 -1.26413758486656 0.0766461616517403 FALSE ""
100 "naive" 31 145 -0.612412827888508 -1.05435785161368 -0.170467804163332 0.163125531567244 -0.392665851190571 0.718916914325059 FALSE ""
100 "naive" 31 145 -0.704971172298888 -1.07152446643841 -0.338417878159364 -0.640520575533127 -1.0215797946636 -0.259461356402655 FALSE ""
100 "naive" 31 145 -1.15257315107816 -1.95795256650067 -0.347193735655649 -0.424682751191369 -1.35565401743002 0.506288515047286 FALSE ""
100 "naive" 31 145 -0.80925420315188 -1.73436847149912 0.115860065195362 -1.09276701006483 -2.00792919346592 -0.177604826663742 FALSE ""
100 "naive" 31 145 -0.743901024675914 -1.63712840889464 0.149326359542811 -0.653515187529135 -1.80277314831079 0.49574277325252 FALSE ""
10 "naive" 44 146 3.25289378800438 -50767.7567730927 50774.2625606687 4.63716315020284 -177076.210549473 177085.484875773 FALSE ""
10 "naive" 44 146 -0.00711505236235085 -78424.7071935802 78424.6929634754 -10.5740300586521 -81341.46714973 81320.3190896127 FALSE ""
10 "naive" 44 146 -10.3599128323305 -108959.187210266 108938.467384602 13.1936588703194 -355817.380619681 355843.767937422 FALSE ""
10 "naive" 44 146 6.25736187302384 -56827.6296526552 56840.1443764013 6.27498552725556 -547052.682171667 547065.232142722 FALSE ""
10 "naive" 44 146 -23.5294385933518 -56512.6022661344 56465.5433889476 8.67916523188371 -923324.993339547 923342.351670011 FALSE ""
10 "naive" 44 146 -5.89630257213362 -56522.7986639848 56511.0060588406 9.01208394318116 -652888.610522335 652906.634690221 FALSE ""
10 "naive" 13 147 22.9683635781294 -6529.03148517527 6574.96821233153 87.3804109771328 -56147.0164879559 56321.7773099102 FALSE ""
10 "naive" 13 147 1.4283148625245 -20864.6049173258 20867.4615470508 -54.5083194995131 -48775.867671878 48666.851032879 FALSE ""
10 "naive" 13 147 -33.8833332763274 -10057.7438656264 9989.97719907374 11.5550882760089 -20490.2881361699 20513.3983127219 FALSE ""
10 "naive" 13 147 19.9486722370403 -11024.1877353507 11064.0850798248 -68.1140699421991 -27899.702622463 27763.4744825786 FALSE ""
10 "naive" 13 147 -121.373013654471 -46118.2778954673 45875.5318681584 -141.414597749445 -28672.1208561187 28389.2916606198 FALSE ""
10 "naive" 13 147 -54.1946940658593 -11182.633105964 11074.2437178323 -218.834071533081 -28593.4038466519 28155.7357035857 FALSE ""
50 "naive" 18 148 -0.462819668887462 -1.00753164147928 0.0818923037043521 -0.410428027775795 -1.07895324419248 0.25809718864089 FALSE ""
50 "naive" 18 148 -0.403626614146347 -1.15289607855023 0.345642850257535 -0.0835148550374118 -1.12674365587134 0.959713945796513 FALSE ""
50 "naive" 18 148 -0.49789191091818 -1.03095233270313 0.0351685108667726 -0.982330301860536 -1.53746385356401 -0.427196750157065 FALSE ""
50 "naive" 18 148 -0.467495781016589 -1.44712526520792 0.512133703174737 -0.354373741558545 -1.57519543473996 0.86644795162287 FALSE ""
50 "naive" 18 148 -0.554900651801077 -1.60918894477803 0.499387641175875 1.66297408034414 -0.120466085086852 3.44641424577513 FALSE ""
50 "naive" 18 148 -1.03553279539689 -2.32435820847354 0.253292617679764 0.289872157949469 -1.86693127952817 2.44667559542711 FALSE ""
50 "naive" 19 149 -1.17889258893017 -2.05346875126599 -0.304316426594356 -0.790782704395161 -1.59281222102937 0.0112468122390441 FALSE ""
50 "naive" 19 149 -1.10374037336338 -1.88900620570456 -0.318474541022191 -0.945909477025339 -1.71270781973037 -0.179111134320306 FALSE ""
50 "naive" 19 149 -0.0931870140869934 -0.564745469391966 0.378371441217979 -0.182532262375715 -0.741974313845426 0.376909789093996 FALSE ""
50 "naive" 19 149 -0.386340653172301 -1.45887553053473 0.686194224190126 -0.337993515354102 -1.70327027920601 1.0272832484978 FALSE ""
50 "naive" 19 149 0.163052954665782 -0.980546041984277 1.30665195131584 0.710592230024192 -0.4498108706974 1.87099533074578 FALSE ""
50 "naive" 19 149 -1.83313083198736 -3.92693413117741 0.260672467202695 -19.0517268857381 -16844.8931004401 16806.7896466686 FALSE ""
10 "naive" 2 150 -43.5515518490744 -3911.31800958687 3824.21490588872 183.717246431789 -31592.1752340432 31959.6097269068 FALSE ""
10 "naive" 2 150 -161.822685538408 -2158.4555645148 1834.81019343798 -122.006056092222 -19024.6394207136 18780.6273085292 FALSE ""
10 "naive" 2 150 -210.033079156333 -2024.26137577031 1604.19521745765 -46.7659201230146 -10515.174013427 10421.642173181 FALSE ""
10 "naive" 2 150 -512.728414266498 -4499.45279236498 3473.99596383198 -134.858791923261 -14814.5078221725 14544.790238326 FALSE ""
10 "naive" 2 150 -56.9860618516457 -3926.03512485094 3812.06300114764 -294.943595036698 -290418.496083294 289828.60889322 FALSE ""
10 "naive" 2 150 -361.021658096072 -4196.03179418883 3473.98847799669 10.868865434687 -13345.7771887093 13367.5149195787 FALSE ""
